total_reward,steps_river,num_steps,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-187.0,24.0,72.0,12.0,20.0,29.0,11.0,2.004002094268799
-260.0,24.0,145.0,21.0,47.0,61.0,16.0,4.202007055282593
97.0,0.0,4.0,1.0,2.0,0.0,1.0,0.11818480491638184
99.0,0.0,2.0,0.0,1.0,0.0,1.0,0.06010699272155762
100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.029244184494018555
98.0,0.0,3.0,1.0,1.0,1.0,0.0,0.08779525756835938
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05876302719116211
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.059921979904174805
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05921602249145508
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05918097496032715
99.0,0.0,2.0,1.0,1.0,0.0,0.0,0.05803990364074707
99.0,0.0,2.0,0.0,1.0,0.0,1.0,0.060072898864746094
92.0,0.0,9.0,1.0,6.0,2.0,0.0,0.2657918930053711
97.0,0.0,4.0,0.0,0.0,3.0,1.0,0.12048101425170898
95.0,0.0,6.0,2.0,2.0,2.0,0.0,0.17644405364990234
100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.030810832977294922
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.059552907943725586
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05960798263549805
98.0,0.0,3.0,0.0,0.0,3.0,0.0,0.08953714370727539
93.0,0.0,8.0,1.0,2.0,5.0,0.0,0.23821473121643066
91.0,0.0,10.0,2.0,6.0,1.0,1.0,0.2963829040527344
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05899620056152344
86.0,0.0,15.0,0.0,8.0,6.0,1.0,0.44666528701782227
98.0,0.0,3.0,0.0,2.0,1.0,0.0,0.08864712715148926
99.0,0.0,2.0,0.0,0.0,1.0,1.0,0.059903860092163086
92.0,0.0,9.0,1.0,2.0,3.0,3.0,0.26888084411621094
86.0,0.0,15.0,2.0,6.0,6.0,1.0,0.4440462589263916
100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.029614925384521484
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0594937801361084
97.0,0.0,4.0,0.0,2.0,2.0,0.0,0.11797904968261719
99.0,0.0,2.0,1.0,1.0,0.0,0.0,0.057915687561035156
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05957198143005371
100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.029563188552856445
99.0,0.0,2.0,1.0,0.0,1.0,0.0,0.058473825454711914
98.0,0.0,3.0,1.0,1.0,1.0,0.0,0.08816218376159668
98.0,0.0,3.0,0.0,3.0,0.0,0.0,0.08873987197875977
96.0,0.0,5.0,2.0,1.0,2.0,0.0,0.14654088020324707
97.0,0.0,4.0,0.0,3.0,1.0,0.0,0.11778402328491211
98.0,0.0,3.0,0.0,1.0,1.0,1.0,0.09087681770324707
97.0,0.0,4.0,0.0,1.0,2.0,1.0,0.12012290954589844
97.0,0.0,4.0,0.0,1.0,2.0,1.0,0.12033295631408691
99.0,0.0,2.0,0.0,0.0,0.0,2.0,0.06159830093383789
98.0,0.0,3.0,0.0,1.0,1.0,1.0,0.09064197540283203
93.0,0.0,8.0,0.0,3.0,2.0,3.0,0.2416682243347168
95.0,0.0,6.0,1.0,3.0,2.0,0.0,0.17815518379211426
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.06024289131164551
99.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0608830451965332
98.0,0.0,3.0,0.0,3.0,0.0,0.0,0.08843398094177246
95.0,0.0,6.0,3.0,1.0,1.0,1.0,0.17728018760681152
99.0,0.0,2.0,0.0,0.0,1.0,1.0,0.06062817573547363
97.0,0.0,4.0,1.0,1.0,1.0,1.0,0.1194770336151123
99.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0609593391418457
98.0,0.0,3.0,0.0,1.0,1.0,1.0,0.09034490585327148
99.0,0.0,2.0,0.0,2.0,0.0,0.0,0.05906105041503906
99.0,0.0,2.0,0.0,1.0,1.0,0.0,0.05889487266540527
98.0,0.0,3.0,0.0,1.0,2.0,0.0,0.09020733833312988
97.0,0.0,4.0,1.0,2.0,1.0,0.0,0.11730694770812988
1.0,8.0,28.0,2.0,18.0,5.0,3.0,0.8347511291503906
98.0,0.0,3.0,0.0,1.0,2.0,0.0,0.08903908729553223
95.0,0.0,6.0,1.0,4.0,1.0,0.0,0.17739295959472656
92.0,0.0,9.0,0.0,5.0,3.0,1.0,0.2689242362976074
