total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
61.0,2.0,22.0,21.0,1.0,0.0,0.0,0.24769186973571777
65.0,0.0,36.0,21.0,5.0,4.0,6.0,0.4066159725189209
30.0,2.0,53.0,38.0,6.0,7.0,2.0,0.5937600135803223
32.0,0.0,69.0,41.0,12.0,13.0,3.0,0.7794921398162842
48.0,1.0,44.0,37.0,3.0,3.0,1.0,0.49303507804870605
68.0,0.0,33.0,22.0,2.0,5.0,4.0,0.37023282051086426
69.0,0.0,32.0,25.0,3.0,4.0,0.0,0.35703301429748535
69.0,0.0,32.0,27.0,2.0,3.0,0.0,0.35808610916137695
82.0,0.0,19.0,13.0,1.0,5.0,0.0,0.21274423599243164
46.0,0.0,55.0,35.0,7.0,11.0,2.0,0.6162519454956055
69.0,0.0,32.0,27.0,3.0,1.0,1.0,0.35904526710510254
39.0,1.0,53.0,33.0,9.0,9.0,2.0,0.5945379734039307
69.0,0.0,32.0,23.0,3.0,4.0,2.0,0.3595771789550781
21.0,1.0,71.0,43.0,6.0,18.0,4.0,0.7971329689025879
70.0,0.0,31.0,21.0,5.0,5.0,0.0,0.34816694259643555
67.0,1.0,25.0,20.0,1.0,3.0,1.0,0.28072404861450195
63.0,0.0,38.0,29.0,5.0,3.0,1.0,0.4261200428009033
77.0,0.0,24.0,19.0,2.0,1.0,2.0,0.26879000663757324
47.0,0.0,54.0,33.0,9.0,8.0,4.0,0.6096189022064209
54.0,0.0,47.0,37.0,4.0,6.0,0.0,0.5312221050262451
70.0,0.0,31.0,20.0,5.0,4.0,2.0,0.35179901123046875
74.0,0.0,27.0,21.0,2.0,3.0,1.0,0.30532288551330566
69.0,0.0,32.0,23.0,4.0,5.0,0.0,0.3613121509552002
48.0,0.0,53.0,43.0,5.0,3.0,2.0,0.593019962310791
33.0,2.0,50.0,43.0,2.0,5.0,0.0,0.5616159439086914
51.0,0.0,50.0,19.0,13.0,14.0,4.0,0.56085205078125
64.0,0.0,37.0,30.0,3.0,3.0,1.0,0.4146087169647217
69.0,0.0,32.0,21.0,5.0,4.0,2.0,0.3566570281982422
49.0,1.0,43.0,37.0,1.0,4.0,1.0,0.480604887008667
66.0,0.0,35.0,26.0,3.0,3.0,3.0,0.39769506454467773
51.0,0.0,50.0,30.0,3.0,13.0,4.0,0.5603790283203125
44.0,0.0,57.0,30.0,10.0,12.0,5.0,0.6379592418670654
66.0,0.0,35.0,32.0,3.0,0.0,0.0,0.39119791984558105
78.0,0.0,23.0,18.0,2.0,3.0,0.0,0.25812506675720215
37.0,0.0,64.0,42.0,10.0,8.0,4.0,0.7176969051361084
34.0,0.0,67.0,38.0,15.0,8.0,6.0,0.7521610260009766
62.0,0.0,39.0,22.0,5.0,11.0,1.0,0.4371199607849121
44.0,0.0,57.0,36.0,7.0,12.0,2.0,0.6384718418121338
62.0,2.0,21.0,15.0,3.0,1.0,2.0,0.23522114753723145
75.0,0.0,26.0,21.0,4.0,1.0,0.0,0.29227399826049805
63.0,0.0,38.0,33.0,3.0,0.0,2.0,0.42664599418640137
47.0,0.0,54.0,49.0,3.0,2.0,0.0,0.6097409725189209
66.0,0.0,35.0,23.0,4.0,5.0,3.0,0.39400601387023926
56.0,0.0,45.0,30.0,11.0,2.0,2.0,0.50484299659729
77.0,0.0,24.0,20.0,0.0,3.0,1.0,0.26966404914855957
69.0,1.0,23.0,20.0,1.0,2.0,0.0,0.25795602798461914
60.0,0.0,41.0,38.0,1.0,2.0,0.0,0.4601740837097168
78.0,0.0,23.0,20.0,1.0,1.0,1.0,0.2584559917449951
62.0,1.0,30.0,23.0,4.0,3.0,0.0,0.35111379623413086
78.0,0.0,23.0,20.0,0.0,2.0,1.0,0.2594480514526367
69.0,0.0,32.0,28.0,2.0,2.0,0.0,0.35880613327026367
80.0,0.0,21.0,15.0,2.0,3.0,1.0,0.23498082160949707
79.0,0.0,22.0,18.0,2.0,1.0,1.0,0.2472071647644043
50.0,0.0,51.0,32.0,5.0,12.0,2.0,0.5706868171691895
64.0,1.0,28.0,16.0,5.0,5.0,2.0,0.3123047351837158
86.0,0.0,15.0,13.0,0.0,2.0,0.0,0.16762495040893555
74.0,1.0,18.0,17.0,1.0,0.0,0.0,0.20164871215820312
67.0,1.0,25.0,20.0,3.0,1.0,1.0,0.27976393699645996
84.0,0.0,17.0,14.0,3.0,0.0,0.0,0.18947696685791016
80.0,0.0,21.0,19.0,1.0,0.0,1.0,0.2421102523803711
68.0,1.0,24.0,22.0,1.0,1.0,0.0,0.26851820945739746
77.0,0.0,24.0,23.0,0.0,1.0,0.0,0.2684142589569092
53.0,3.0,21.0,20.0,1.0,0.0,0.0,0.23492980003356934
62.0,0.0,39.0,28.0,5.0,3.0,3.0,0.436323881149292
62.0,0.0,39.0,32.0,3.0,1.0,3.0,0.4371049404144287
77.0,0.0,24.0,20.0,1.0,2.0,1.0,0.2680628299713135
54.0,0.0,47.0,21.0,14.0,10.0,2.0,0.5262179374694824
79.0,0.0,22.0,19.0,0.0,1.0,2.0,0.24663972854614258
74.0,0.0,27.0,25.0,2.0,0.0,0.0,0.30282115936279297
83.0,0.0,18.0,15.0,2.0,0.0,1.0,0.20183110237121582
75.0,0.0,26.0,22.0,2.0,1.0,1.0,0.2920229434967041
70.0,0.0,31.0,28.0,2.0,0.0,1.0,0.3472468852996826
79.0,0.0,22.0,17.0,1.0,2.0,2.0,0.24704813957214355
81.0,0.0,20.0,17.0,1.0,1.0,1.0,0.22459101676940918
74.0,0.0,27.0,26.0,0.0,0.0,1.0,0.30361080169677734
81.0,0.0,20.0,17.0,2.0,1.0,0.0,0.2261059284210205
59.0,1.0,33.0,23.0,2.0,8.0,0.0,0.37241387367248535
56.0,0.0,45.0,37.0,4.0,2.0,2.0,0.5079748630523682
73.0,0.0,28.0,20.0,3.0,4.0,1.0,0.31696009635925293
76.0,0.0,25.0,16.0,2.0,6.0,1.0,0.28206729888916016
75.0,0.0,26.0,17.0,5.0,3.0,1.0,0.2934110164642334
73.0,0.0,28.0,25.0,1.0,2.0,0.0,0.3170480728149414
67.0,1.0,25.0,20.0,2.0,2.0,1.0,0.2815282344818115
49.0,0.0,52.0,30.0,8.0,11.0,3.0,0.5876638889312744
81.0,0.0,20.0,17.0,0.0,2.0,1.0,0.22611427307128906
75.0,0.0,26.0,16.0,5.0,4.0,1.0,0.29384303092956543
69.0,0.0,32.0,16.0,8.0,6.0,2.0,0.36109185218811035
79.0,0.0,22.0,14.0,3.0,4.0,1.0,0.24833416938781738
79.0,0.0,22.0,19.0,1.0,1.0,1.0,0.2488558292388916
80.0,0.0,21.0,15.0,3.0,1.0,2.0,0.23696327209472656
82.0,0.0,19.0,16.0,2.0,0.0,1.0,0.2144029140472412
69.0,0.0,32.0,21.0,6.0,3.0,2.0,0.3606142997741699
71.0,0.0,30.0,17.0,3.0,7.0,3.0,0.3381528854370117
46.0,0.0,55.0,14.0,22.0,13.0,6.0,0.6143481731414795
77.0,0.0,24.0,17.0,4.0,2.0,1.0,0.27066993713378906
74.0,0.0,27.0,16.0,3.0,7.0,1.0,0.30178380012512207
79.0,0.0,22.0,18.0,2.0,2.0,0.0,0.2519092559814453
75.0,0.0,26.0,17.0,2.0,5.0,2.0,0.29163098335266113
77.0,0.0,24.0,19.0,3.0,1.0,1.0,0.2694838047027588
79.0,0.0,22.0,18.0,1.0,3.0,0.0,0.2459399700164795
81.0,0.0,20.0,16.0,3.0,1.0,0.0,0.2239370346069336
78.0,0.0,23.0,18.0,2.0,3.0,0.0,0.25779294967651367
55.0,0.0,46.0,36.0,8.0,2.0,0.0,0.5150830745697021
76.0,0.0,25.0,22.0,1.0,2.0,0.0,0.280595064163208
71.0,0.0,30.0,18.0,4.0,6.0,2.0,0.3357686996459961
77.0,0.0,24.0,20.0,2.0,1.0,1.0,0.27170801162719727
82.0,0.0,19.0,14.0,2.0,2.0,1.0,0.21302199363708496
72.0,0.0,29.0,18.0,5.0,5.0,1.0,0.32708215713500977
78.0,0.0,23.0,17.0,2.0,2.0,2.0,0.2584230899810791
82.0,0.0,19.0,15.0,2.0,2.0,0.0,0.21310877799987793
73.0,0.0,28.0,19.0,2.0,3.0,4.0,0.31408214569091797
52.0,0.0,49.0,21.0,8.0,16.0,4.0,0.5506281852722168
73.0,0.0,28.0,20.0,3.0,3.0,2.0,0.3146700859069824
77.0,0.0,24.0,19.0,4.0,0.0,1.0,0.2690129280090332
64.0,1.0,28.0,21.0,2.0,5.0,0.0,0.3152010440826416
52.0,0.0,49.0,32.0,7.0,9.0,1.0,0.5508902072906494
75.0,0.0,26.0,22.0,1.0,2.0,1.0,0.2926058769226074
13.0,0.0,88.0,51.0,17.0,17.0,3.0,0.9855649471282959
58.0,0.0,43.0,22.0,14.0,6.0,1.0,0.48229503631591797
57.0,0.0,44.0,22.0,7.0,12.0,3.0,0.493466854095459
55.0,0.0,46.0,34.0,7.0,3.0,2.0,0.5158500671386719
25.0,0.0,76.0,44.0,16.0,13.0,3.0,0.8521170616149902
51.0,1.0,41.0,34.0,5.0,2.0,0.0,0.46152710914611816
82.0,0.0,19.0,17.0,2.0,0.0,0.0,0.21242284774780273
71.0,0.0,30.0,25.0,2.0,2.0,1.0,0.33802294731140137
81.0,0.0,20.0,17.0,2.0,1.0,0.0,0.22419023513793945
72.0,1.0,20.0,14.0,3.0,2.0,1.0,0.22712182998657227
78.0,0.0,23.0,19.0,4.0,0.0,0.0,0.25988006591796875
76.0,0.0,25.0,17.0,1.0,5.0,2.0,0.2894439697265625
54.0,0.0,47.0,17.0,14.0,12.0,4.0,0.5309112071990967
76.0,0.0,25.0,20.0,3.0,1.0,1.0,0.2801997661590576
66.0,1.0,26.0,23.0,1.0,1.0,1.0,0.291093111038208
55.0,0.0,46.0,43.0,2.0,1.0,0.0,0.5156598091125488
66.0,0.0,35.0,28.0,4.0,2.0,1.0,0.3912792205810547
69.0,1.0,23.0,20.0,2.0,0.0,1.0,0.25743579864501953
76.0,0.0,25.0,17.0,4.0,3.0,1.0,0.27994823455810547
81.0,0.0,20.0,18.0,2.0,0.0,0.0,0.22423505783081055
72.0,0.0,29.0,21.0,4.0,3.0,1.0,0.3245089054107666
44.0,0.0,57.0,33.0,10.0,10.0,4.0,0.6379148960113525
65.0,0.0,36.0,24.0,5.0,6.0,1.0,0.4039468765258789
79.0,0.0,22.0,19.0,2.0,1.0,0.0,0.24583911895751953
68.0,0.0,33.0,24.0,5.0,2.0,2.0,0.3701350688934326
37.0,1.0,55.0,53.0,1.0,0.0,1.0,0.6161689758300781
61.0,1.0,31.0,29.0,0.0,2.0,0.0,0.34786105155944824
68.0,0.0,33.0,27.0,1.0,5.0,0.0,0.37001514434814453
66.0,1.0,26.0,22.0,2.0,2.0,0.0,0.2915210723876953
73.0,0.0,28.0,26.0,0.0,1.0,1.0,0.3162271976470947
45.0,0.0,56.0,54.0,2.0,0.0,0.0,0.6344871520996094
47.0,1.0,45.0,25.0,13.0,6.0,1.0,0.5093250274658203
63.0,0.0,38.0,26.0,8.0,1.0,3.0,0.4252359867095947
72.0,0.0,29.0,23.0,4.0,2.0,0.0,0.3250100612640381
61.0,1.0,31.0,20.0,4.0,5.0,2.0,0.3473172187805176
75.0,0.0,26.0,20.0,3.0,2.0,1.0,0.2917819023132324
72.0,1.0,20.0,18.0,1.0,1.0,0.0,0.2249300479888916
42.0,1.0,50.0,41.0,2.0,4.0,3.0,0.5628409385681152
80.0,0.0,21.0,20.0,0.0,1.0,0.0,0.236464262008667
70.0,0.0,31.0,26.0,1.0,3.0,1.0,0.34896087646484375
62.0,1.0,30.0,28.0,0.0,2.0,0.0,0.3368241786956787
49.0,0.0,52.0,46.0,3.0,1.0,2.0,0.590087890625
79.0,0.0,22.0,21.0,1.0,0.0,0.0,0.2476499080657959
83.0,0.0,18.0,15.0,2.0,0.0,1.0,0.20148706436157227
64.0,0.0,37.0,21.0,6.0,7.0,3.0,0.4163999557495117
80.0,0.0,21.0,16.0,3.0,2.0,0.0,0.23554491996765137
79.0,0.0,22.0,21.0,0.0,1.0,0.0,0.24643802642822266
77.0,0.0,24.0,22.0,0.0,2.0,0.0,0.26965975761413574
75.0,0.0,26.0,22.0,2.0,1.0,1.0,0.291823148727417
75.0,0.0,26.0,23.0,1.0,2.0,0.0,0.29374265670776367
81.0,0.0,20.0,18.0,1.0,1.0,0.0,0.22573208808898926
84.0,0.0,17.0,13.0,0.0,3.0,1.0,0.1915879249572754
66.0,0.0,35.0,21.0,6.0,7.0,1.0,0.393172025680542
73.0,0.0,28.0,23.0,2.0,2.0,1.0,0.31387782096862793
81.0,0.0,20.0,18.0,1.0,1.0,0.0,0.22438693046569824
68.0,0.0,33.0,21.0,5.0,4.0,3.0,0.3709909915924072
28.0,0.0,73.0,54.0,5.0,9.0,5.0,0.82118821144104
44.0,0.0,57.0,56.0,0.0,0.0,1.0,0.6396157741546631
59.0,0.0,42.0,31.0,4.0,6.0,1.0,0.47497010231018066
-5.0,2.0,88.0,68.0,7.0,9.0,4.0,1.008533000946045
69.0,0.0,32.0,27.0,2.0,1.0,2.0,0.3856627941131592
77.0,0.0,24.0,19.0,3.0,0.0,2.0,0.271251916885376
65.0,0.0,36.0,29.0,3.0,3.0,1.0,0.4050180912017822
77.0,0.0,24.0,16.0,4.0,3.0,1.0,0.2701420783996582
72.0,0.0,29.0,17.0,5.0,5.0,2.0,0.3253030776977539
80.0,0.0,21.0,17.0,1.0,3.0,0.0,0.23562312126159668
83.0,0.0,18.0,16.0,0.0,1.0,1.0,0.20275187492370605
79.0,0.0,22.0,17.0,5.0,0.0,0.0,0.24681329727172852
65.0,0.0,36.0,34.0,0.0,1.0,1.0,0.4043769836425781
67.0,0.0,34.0,26.0,2.0,5.0,1.0,0.38295507431030273
78.0,0.0,23.0,20.0,2.0,0.0,1.0,0.2588999271392822
60.0,1.0,32.0,21.0,7.0,4.0,0.0,0.35957813262939453
35.0,0.0,66.0,46.0,9.0,9.0,2.0,0.7479588985443115
59.0,0.0,42.0,37.0,2.0,2.0,1.0,0.471693754196167
44.0,0.0,57.0,37.0,13.0,5.0,2.0,0.6403729915618896
61.0,1.0,31.0,25.0,4.0,2.0,0.0,0.34888601303100586
72.0,0.0,29.0,23.0,3.0,2.0,1.0,0.32578158378601074
70.0,1.0,22.0,17.0,3.0,1.0,1.0,0.24651098251342773
80.0,0.0,21.0,14.0,2.0,4.0,1.0,0.2351231575012207
69.0,0.0,32.0,20.0,4.0,5.0,3.0,0.35828089714050293
80.0,0.0,21.0,16.0,4.0,1.0,0.0,0.23581480979919434
70.0,0.0,31.0,28.0,2.0,1.0,0.0,0.34919071197509766
79.0,0.0,22.0,18.0,3.0,0.0,1.0,0.2474076747894287
81.0,0.0,20.0,17.0,0.0,1.0,2.0,0.22492194175720215
71.0,0.0,30.0,27.0,2.0,1.0,0.0,0.3373439311981201
79.0,0.0,22.0,17.0,4.0,1.0,0.0,0.24892592430114746
77.0,0.0,24.0,19.0,0.0,4.0,1.0,0.27112698554992676
76.0,0.0,25.0,19.0,3.0,2.0,1.0,0.28282880783081055
73.0,0.0,28.0,19.0,5.0,2.0,2.0,0.316162109375
77.0,0.0,24.0,16.0,2.0,6.0,0.0,0.27088499069213867
72.0,0.0,29.0,24.0,2.0,3.0,0.0,0.32810306549072266
82.0,0.0,19.0,17.0,1.0,1.0,0.0,0.2149648666381836
80.0,0.0,21.0,19.0,1.0,1.0,0.0,0.23690199851989746
74.0,0.0,27.0,24.0,2.0,1.0,0.0,0.30508899688720703
77.0,0.0,24.0,22.0,1.0,1.0,0.0,0.27225375175476074
78.0,0.0,23.0,18.0,2.0,3.0,0.0,0.2586939334869385
79.0,0.0,22.0,18.0,2.0,1.0,1.0,0.25032591819763184
79.0,0.0,22.0,17.0,3.0,1.0,1.0,0.24760794639587402
80.0,0.0,21.0,18.0,1.0,1.0,1.0,0.23560285568237305
58.0,1.0,34.0,28.0,5.0,1.0,0.0,0.3804938793182373
78.0,0.0,23.0,22.0,1.0,0.0,0.0,0.2577788829803467
80.0,0.0,21.0,18.0,2.0,1.0,0.0,0.23496389389038086
82.0,0.0,19.0,15.0,1.0,2.0,1.0,0.21272492408752441
79.0,0.0,22.0,20.0,0.0,1.0,1.0,0.2464001178741455
75.0,0.0,26.0,21.0,1.0,3.0,1.0,0.29132628440856934
70.0,0.0,31.0,27.0,3.0,1.0,0.0,0.3477492332458496
79.0,0.0,22.0,20.0,0.0,0.0,2.0,0.24790191650390625
74.0,0.0,27.0,23.0,0.0,3.0,1.0,0.3032341003417969
78.0,0.0,23.0,16.0,5.0,2.0,0.0,0.2589449882507324
79.0,0.0,22.0,18.0,3.0,0.0,1.0,0.24678778648376465
79.0,0.0,22.0,18.0,2.0,2.0,0.0,0.24731206893920898
78.0,0.0,23.0,15.0,2.0,4.0,2.0,0.25766587257385254
66.0,0.0,35.0,25.0,6.0,3.0,1.0,0.3984990119934082
59.0,0.0,42.0,21.0,5.0,11.0,5.0,0.4712707996368408
70.0,0.0,31.0,26.0,3.0,1.0,1.0,0.34786319732666016
83.0,0.0,18.0,17.0,1.0,0.0,0.0,0.20121383666992188
66.0,0.0,35.0,21.0,7.0,4.0,3.0,0.3924410343170166
62.0,0.0,39.0,27.0,7.0,5.0,0.0,0.4386322498321533
77.0,0.0,24.0,19.0,1.0,3.0,1.0,0.2706470489501953
62.0,0.0,39.0,37.0,1.0,1.0,0.0,0.4406120777130127
71.0,0.0,30.0,28.0,1.0,1.0,0.0,0.33732008934020996
39.0,0.0,62.0,58.0,2.0,2.0,0.0,0.6967611312866211
43.0,1.0,49.0,37.0,3.0,8.0,1.0,0.5501880645751953
75.0,0.0,26.0,22.0,0.0,4.0,0.0,0.291640043258667
62.0,0.0,39.0,29.0,4.0,4.0,2.0,0.4377400875091553
52.0,0.0,49.0,44.0,3.0,2.0,0.0,0.5497901439666748
74.0,0.0,27.0,19.0,4.0,3.0,1.0,0.3021669387817383
71.0,0.0,30.0,20.0,4.0,4.0,2.0,0.33743715286254883
81.0,0.0,20.0,15.0,2.0,2.0,1.0,0.22580885887145996
82.0,0.0,19.0,16.0,1.0,2.0,0.0,0.21561479568481445
39.0,1.0,53.0,41.0,6.0,5.0,1.0,0.5971841812133789
75.0,0.0,26.0,17.0,5.0,4.0,0.0,0.29204893112182617
67.0,0.0,34.0,24.0,1.0,6.0,3.0,0.38275575637817383
81.0,0.0,20.0,18.0,2.0,0.0,0.0,0.22509288787841797
63.0,0.0,38.0,22.0,9.0,5.0,2.0,0.42757105827331543
86.0,0.0,15.0,13.0,1.0,1.0,0.0,0.16834092140197754
77.0,0.0,24.0,21.0,1.0,2.0,0.0,0.26984596252441406
70.0,0.0,31.0,17.0,4.0,10.0,0.0,0.34781384468078613
73.0,0.0,28.0,18.0,5.0,5.0,0.0,0.31501197814941406
80.0,0.0,21.0,14.0,3.0,2.0,2.0,0.23542284965515137
81.0,0.0,20.0,16.0,1.0,3.0,0.0,0.2247309684753418
81.0,0.0,20.0,18.0,0.0,2.0,0.0,0.22532391548156738
52.0,0.0,49.0,47.0,1.0,1.0,0.0,0.5503711700439453
77.0,0.0,24.0,21.0,1.0,2.0,0.0,0.2693948745727539
57.0,1.0,35.0,25.0,7.0,2.0,1.0,0.39809203147888184
31.0,0.0,70.0,41.0,11.0,16.0,2.0,0.7934682369232178
70.0,1.0,22.0,21.0,0.0,1.0,0.0,0.24903416633605957
72.0,0.0,29.0,16.0,6.0,5.0,2.0,0.3268270492553711
83.0,0.0,18.0,13.0,1.0,3.0,1.0,0.2022538185119629
82.0,0.0,19.0,17.0,1.0,1.0,0.0,0.2165520191192627
65.0,1.0,27.0,17.0,2.0,5.0,3.0,0.3045768737792969
74.0,0.0,27.0,17.0,3.0,6.0,1.0,0.30582666397094727
72.0,0.0,29.0,18.0,6.0,3.0,2.0,0.32675886154174805
73.0,0.0,28.0,20.0,1.0,6.0,1.0,0.31629276275634766
81.0,0.0,20.0,17.0,1.0,2.0,0.0,0.22614693641662598
81.0,0.0,20.0,17.0,0.0,2.0,1.0,0.22534775733947754
-49.0,8.0,78.0,70.0,5.0,3.0,0.0,0.877389669418335
70.0,0.0,31.0,25.0,4.0,1.0,1.0,0.34828805923461914
64.0,0.0,37.0,26.0,3.0,5.0,3.0,0.41594791412353516
64.0,0.0,37.0,22.0,3.0,10.0,2.0,0.4141571521759033
78.0,0.0,23.0,16.0,4.0,2.0,1.0,0.25873589515686035
77.0,0.0,24.0,18.0,2.0,4.0,0.0,0.2686316967010498
81.0,0.0,20.0,15.0,1.0,3.0,1.0,0.22412800788879395
83.0,0.0,18.0,15.0,1.0,2.0,0.0,0.2017831802368164
