total_reward,steps_river,num_steps,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-187.0,24.0,72.0,12.0,20.0,29.0,11.0,2.0032570362091064
-162.0,20.0,83.0,9.0,30.0,30.0,14.0,2.3691670894622803
-202.0,19.0,132.0,19.0,51.0,50.0,12.0,3.8929388523101807
-610.0,50.0,261.0,37.0,94.0,100.0,30.0,8.018859148025513
-882.0,51.0,524.0,69.0,214.0,178.0,63.0,16.2672061920166
-918.0,51.0,560.0,81.0,199.0,211.0,69.0,17.604350090026855
-268.0,11.0,270.0,32.0,110.0,102.0,26.0,8.573961973190308
-16.0,5.0,72.0,10.0,21.0,31.0,10.0,2.290400981903076
-1033.0,57.0,621.0,80.0,220.0,228.0,93.0,19.863517999649048
-566.0,19.0,496.0,65.0,187.0,190.0,54.0,15.763908863067627
-219.0,9.0,239.0,23.0,86.0,94.0,36.0,7.616949081420898
-324.0,16.0,281.0,38.0,94.0,110.0,39.0,9.031573057174683
-97.0,9.0,117.0,12.0,47.0,45.0,13.0,3.7231829166412354
-45.0,1.0,137.0,19.0,55.0,48.0,15.0,4.359540939331055
-30.0,3.0,104.0,10.0,46.0,36.0,12.0,3.315213203430176
25.0,1.0,67.0,3.0,28.0,27.0,9.0,2.1368608474731445
-123.0,7.0,161.0,21.0,56.0,61.0,23.0,5.124348163604736
13.0,2.0,70.0,6.0,27.0,26.0,11.0,2.2286338806152344
-30.0,2.0,113.0,15.0,30.0,50.0,18.0,3.602323293685913
-139.0,9.0,159.0,15.0,60.0,63.0,21.0,5.14046311378479
-114.0,12.0,107.0,15.0,39.0,40.0,13.0,3.4097740650177
39.0,3.0,35.0,5.0,15.0,8.0,7.0,1.1153151988983154
-28.0,9.0,48.0,10.0,14.0,13.0,11.0,1.5327811241149902
-55.0,12.0,48.0,6.0,23.0,16.0,3.0,1.5236449241638184
51.0,3.0,23.0,1.0,10.0,11.0,1.0,0.7325799465179443
29.0,5.0,27.0,5.0,11.0,11.0,0.0,0.8532280921936035
24.0,1.0,68.0,9.0,28.0,21.0,10.0,2.2163472175598145
71.0,1.0,21.0,1.0,12.0,6.0,2.0,0.6713180541992188
5.0,6.0,42.0,8.0,12.0,17.0,5.0,1.3364641666412354
58.0,2.0,25.0,3.0,6.0,12.0,4.0,0.7980568408966064
52.0,4.0,13.0,2.0,8.0,1.0,2.0,0.4145967960357666
59.0,3.0,15.0,2.0,5.0,6.0,2.0,0.4781959056854248
-5.0,7.0,43.0,9.0,20.0,11.0,3.0,1.3641531467437744
35.0,3.0,39.0,8.0,9.0,19.0,3.0,1.2379088401794434
45.0,4.0,20.0,1.0,7.0,11.0,1.0,0.6385359764099121
26.0,6.0,21.0,2.0,6.0,9.0,4.0,0.672605037689209
-4.0,9.0,24.0,5.0,10.0,8.0,1.0,0.76003098487854
77.0,1.0,15.0,2.0,10.0,1.0,2.0,0.48929429054260254
61.0,1.0,31.0,2.0,15.0,11.0,3.0,0.9877278804779053
-76.0,9.0,96.0,13.0,37.0,29.0,17.0,3.062346935272217
-106.0,11.0,108.0,13.0,35.0,35.0,25.0,3.4523000717163086
46.0,3.0,28.0,3.0,8.0,12.0,5.0,0.8937573432922363
3.0,7.0,35.0,6.0,11.0,12.0,6.0,1.1631410121917725
85.0,0.0,16.0,4.0,7.0,4.0,1.0,0.5062730312347412
42.0,4.0,23.0,1.0,9.0,9.0,4.0,0.7369410991668701
41.0,5.0,15.0,2.0,4.0,5.0,4.0,0.4815990924835205
31.0,4.0,34.0,4.0,12.0,14.0,4.0,1.0863521099090576
-116.0,15.0,82.0,8.0,30.0,34.0,10.0,2.67252516746521
-56.0,10.0,67.0,13.0,26.0,20.0,8.0,2.1302242279052734
45.0,3.0,29.0,2.0,14.0,10.0,3.0,0.922553300857544
81.0,1.0,11.0,0.0,9.0,1.0,1.0,0.3495979309082031
-3.0,7.0,41.0,3.0,17.0,18.0,3.0,1.305953025817871
45.0,4.0,20.0,4.0,7.0,7.0,2.0,0.636117696762085
56.0,3.0,18.0,0.0,8.0,8.0,2.0,0.576016902923584
-52.0,8.0,81.0,6.0,20.0,38.0,17.0,2.5886058807373047
19.0,7.0,19.0,0.0,5.0,13.0,1.0,0.606299877166748
63.0,1.0,29.0,8.0,9.0,9.0,3.0,0.9177200794219971
51.0,4.0,14.0,1.0,9.0,4.0,0.0,0.44295692443847656
80.0,1.0,12.0,2.0,4.0,6.0,0.0,0.38040614128112793
65.0,1.0,27.0,2.0,10.0,12.0,3.0,0.859623908996582
56.0,3.0,18.0,2.0,4.0,11.0,1.0,0.5741848945617676
83.0,1.0,9.0,2.0,2.0,4.0,1.0,0.2860569953918457
84.0,1.0,8.0,1.0,2.0,3.0,2.0,0.2583439350128174
39.0,3.0,35.0,4.0,13.0,12.0,6.0,1.1597440242767334
31.0,3.0,43.0,4.0,20.0,12.0,7.0,1.3750603199005127
