total_reward,steps_river,path_length,counts_0miss,counts_1miss,counts_2miss,counts_3miss,wall_clock_time
-55.0,0.0,156.0,156.0,0.0,0.0,0.0,1.6752398014068604
3.0,3.0,71.0,71.0,0.0,0.0,0.0,0.759458065032959
-89.0,15.0,55.0,55.0,0.0,0.0,0.0,0.577099084854126
-18.0,11.0,20.0,20.0,0.0,0.0,0.0,0.21414399147033691
35.0,5.0,21.0,21.0,0.0,0.0,0.0,0.22557282447814941
49.0,4.0,16.0,16.0,0.0,0.0,0.0,0.1745319366455078
19.0,6.0,28.0,28.0,0.0,0.0,0.0,0.2954981327056885
52.0,3.0,22.0,22.0,0.0,0.0,0.0,0.23185086250305176
26.0,6.0,21.0,21.0,0.0,0.0,0.0,0.22137022018432617
60.0,3.0,14.0,14.0,0.0,0.0,0.0,0.14899182319641113
17.0,5.0,39.0,39.0,0.0,0.0,0.0,0.41553783416748047
-222.0,7.0,260.0,260.0,0.0,0.0,0.0,2.797240734100342
-8.0,3.0,82.0,82.0,0.0,0.0,0.0,0.8863401412963867
-37.0,2.0,120.0,120.0,0.0,0.0,0.0,1.2919371128082275
-57.0,9.0,77.0,77.0,0.0,0.0,0.0,0.8350131511688232
14.0,5.0,42.0,42.0,0.0,0.0,0.0,0.4567699432373047
52.0,0.0,49.0,49.0,0.0,0.0,0.0,0.5328059196472168
69.0,0.0,32.0,32.0,0.0,0.0,0.0,0.34814906120300293
-58.0,2.0,141.0,141.0,0.0,0.0,0.0,1.5417699813842773
48.0,0.0,53.0,53.0,0.0,0.0,0.0,0.5774068832397461
2.0,3.0,72.0,72.0,0.0,0.0,0.0,0.7840781211853027
62.0,0.0,39.0,39.0,0.0,0.0,0.0,0.4295938014984131
30.0,1.0,62.0,62.0,0.0,0.0,0.0,0.6754341125488281
82.0,0.0,19.0,19.0,0.0,0.0,0.0,0.20651888847351074
70.0,1.0,22.0,22.0,0.0,0.0,0.0,0.2387866973876953
70.0,1.0,22.0,22.0,0.0,0.0,0.0,0.2392899990081787
41.0,3.0,33.0,33.0,0.0,0.0,0.0,0.3597750663757324
89.0,0.0,12.0,12.0,0.0,0.0,0.0,0.13030409812927246
