t_step,action_i,action_j,true_i,true_j,true_c,obs_i,obs_j,obs_c,reward,wall_clock_time
61.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.006009101867675781
62.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.005987882614135742
63.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.006022930145263672
64.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0059778690338134766
65.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.0060460567474365234
66.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,-1.0,0.00597691535949707
67.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0059108734130859375
68.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,-1.0,0.005934715270996094
69.0,1.0,-1.0,2.0,2.0,0.0,2.0,2.0,0.0,-1.0,0.0060160160064697266
70.0,0.0,-1.0,3.0,1.0,0.0,3.0,1.0,0.0,-1.0,0.0060422420501708984
71.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.005987882614135742
72.0,0.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0060040950775146484
73.0,-1.0,-1.0,4.0,1.0,0.0,4.0,1.0,0.0,-1.0,0.005998849868774414
74.0,0.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005979061126708984
75.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.006071805953979492
76.0,0.0,-1.0,4.0,1.0,0.0,4.0,1.0,0.0,-1.0,0.005930185317993164
77.0,-1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,-1.0,0.005911827087402344
78.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0058901309967041016
79.0,1.0,0.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005946159362792969
80.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005923032760620117
81.0,-1.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005893230438232422
82.0,1.0,-1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.0059587955474853516
83.0,0.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0058879852294921875
84.0,0.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005903959274291992
85.0,-1.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0059850215911865234
86.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.0058748722076416016
87.0,1.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005890846252441406
88.0,-1.0,-1.0,7.0,1.0,0.0,7.0,1.0,0.0,-1.0,0.005927085876464844
89.0,1.0,-1.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.005873918533325195
90.0,0.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005944728851318359
91.0,0.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.005918979644775391
92.0,-1.0,-1.0,7.0,0.0,0.0,7.0,0.0,0.0,-1.0,0.005903005599975586
93.0,1.0,0.0,7.0,1.0,1.0,7.0,1.0,1.0,-1.0,0.0058727264404296875
94.0,-1.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,0.005936861038208008
95.0,1.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.0060558319091796875
96.0,1.0,-1.0,6.0,2.0,0.0,6.0,2.0,0.0,-1.0,0.005940914154052734
97.0,-1.0,1.0,6.0,1.0,0.0,6.0,1.0,0.0,-1.0,0.0059051513671875
98.0,0.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,-1.0,0.005922079086303711
99.0,-1.0,-1.0,6.0,1.0,0.0,6.0,1.0,0.0,-1.0,0.005918025970458984
