PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,0.0,1.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,0.0,1.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.0,0,32,-96.09375,2.15625,177.6875,14.735006213188171,-95.9,0.1,196.0,16.371756863594054
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.0,1,35,-82.85714285714286,2.142857142857143,164.57142857142858,13.44672806603568,-89.95,0.25,188.7,15.52219125032425
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.0,2,32,-99.875,2.375,179.5,14.763562187552452,-125.45,0.25,224.2,18.554745507240295
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.5,0,5503,91.84045066327458,0.008177357804833727,9.08595311648192,0.7426320908179224,92.0,0.0,9.0,0.7289456605911255
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.5,1,5463,91.75745927146257,0.010067728354384037,9.151931173347977,0.7674213197670772,92.0,0.0,9.0,0.7544003248214721
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,0.5,2,5418,91.66445182724253,0.01199704688076781,9.227574750830565,0.7786828734946013,92.0,0.0,9.0,0.7524666786193848
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,1.0,0,5504,73.90625,2.00109011627907,9.083938953488373,0.7257994976067959,74.0,2.0,9.0,0.7174638271331787
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.0,50000.0,0.0,1.0,1.0,1,5517,82.87058183795541,1.007431575131412,9.062533985861881,0.7273438916769023,83.0,1.0,9.0,0.7294329047203064
